LOC_SYSTEM_TITLE_TOUHOUCRAWL,Touhou Crawl
LOC_SYSTEM_TITLE_SHORTINFO,東方ProjectとDungeon Crawlの二次創作ゲーム
LOC_SYSTEM_TITLE_YOUR_NAME,あなたの名前は{0}です。
LOC_SYSTEM_TITLE_START,始める！
LOC_SYSTEM_MAINMENU_MAINGAME,メインゲーム
LOC_SYSTEM_MAINMENU_GAMESTART,ゲーム開始
LOC_SYSTEM_MAINMENU_TUTORIAL,チュートリアル
LOC_SYSTEM_MAINMENU_MINIGAME,ミニゲーム
LOC_SYSTEM_MAINMENU_ARENA,アリーナ
LOC_SYSTEM_MAINMENU_SPRINT,スプリント
LOC_SYSTEM_MAINMENU_ETC,その他
LOC_SYSTEM_MAINMENU_OPTION,オプション
LOC_SYSTEM_MAINMENU_REPLAY,リプレイ
LOC_SYSTEM_MAINMENU_MAINGAME_MODE_SELECT,どのモードで始める？
LOC_SYSTEM_MAINMENU_MAINGAME_MODE_EASY,東方キャラで始める（EASY）
LOC_SYSTEM_MAINMENU_MAINGAME_MODE_EASY_SELECT,一番いいのを頼む。
LOC_SYSTEM_MAINMENU_MAINGAME_MODE_NORMAL,自分でキャラを選んで始める（NORMAL）
LOC_SYSTEM_MAINMENU_MAINGAME_MODE_NORMAL_SELECT,大丈夫。問題ない。
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_SELECT,キャラクターを選択します。
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_REIMU1,アンチパターン超誘導型。卑怯なホーミング巫女で敵を一掃しよう！
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_REIMU2,適性ボーナス）弾幕適性 +3、回避適性 +3
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_REIMU3,ボーナス）24枚のホーミングお札、神は信じないところから始まる。
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_REIMU4,初心者向けヒント）fキーでお札を発射できます。接近する前に必ずお札を投げましょう。
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_MARISA1,無限貫通＆常時攻撃型。弾幕はパワー！見えたら即撃破！
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_MARISA2,適性ボーナス）魔法詠唱適性 +2、破壊魔法適性 +3、回避適性 +1
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_MARISA3,ボーナス）+2,+2 箒、MPの指輪、破壊の魔導書
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_MARISA4,初心者向けヒント）zキーで魔法、Mキーで魔法を習得。常にMPを5キーで満タンに保ちましょう。
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_SANAE1,高火力＆広範囲炸裂型。諏訪子様のお導きのままに！
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_SANAE2,適性ボーナス）戦闘適性 +2、回避適性 +1、発動適性 +3
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_SANAE3,ボーナス）地のスペルカード(9)、風のスペルカード(9)、諏訪子を信じて始める。
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_SANAE4,初心者向けヒント）Vキーでスペルカード使用可能。地のカードは壁に当てて爆発ダメージを狙おう。
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_MOMIZI1,自動探索＆自動攻撃型。OキーとTABキーがあなたを守るでしょう。
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_MOMIZI2,適性ボーナス）長剣適性 +1
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_MOMIZI3,ボーナス）+2,+2 曲刀、+2 鉄の盾、+2 チェインメイル、治癒ポーション×2、力のポーション×2、透明感知の指輪
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_MOMIZI4,初心者向けヒント）tabで自動攻撃、oで自動探索。危ない時はqでポーションを飲みましょう。
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_KOISHI1,本気！あなたの背後にいます。無意識の力で全てを暗殺せよ！
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_KOISHI2,適性ボーナス）短剣適性 +2、精神魔法適性 +2
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_KOISHI3,ボーナス）永久透明特性、MP保持特性、Lv15で突き刺し（混乱を引き起こす近接攻撃）
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_KOISHI4,初心者向けヒント）非戦闘時は常に透明状態。戦闘に入ると解除されます。\n眠っている敵を刺すと、奇襲と短剣スキルに応じて大ダメージ！\nxを押しながらモンスターにカーソルを合わせ、vを押すと情報表示。透明視持ちか確認しましょう！
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_MOKOU1,激烈！人間インフェルノ。死んでも蘇って突破せよ！
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_MOKOU2,適性ボーナス）HP +20%、戦闘適性 +2、火炎魔法適性 +2
LOC_SYSTEM_MAINMENU_MAINGAME_CHAR_MOKOU3,ボーナス）2回まで復活可能（レベル9と18に到達すると削除される）
